cbsa,shortname,cbsa_name,pop2000,black_pop2000,black_diss,hisp_pop2000,hisp_diss,msa_name,popest2008,pcollege,lnpop2008,pblack2000,lnmedhhinc,phisp2000,region,mw,south,west,house_index_change,psubprime0406,housestart_ratio
45060,"Syracuse","Syracuse, NY",650154,49386,.692,13501,.444,"Syracuse, NY",643794,.2693331,13.37513,.0759605,10.76458,.0207658,"Northeast",0,0,0,2.85994,.2074015,.0358935
45104,"Tacoma","Tacoma, WA Metropolitan Division",700820,59948,.454,38621,.31,"Tacoma, WA Metropolitan Division",785639,.2301157,13.57425,.0855398,10.90485,.0551083,"West",0,0,1,3.932256,.2729014,.1384619
45300,"Tampa","Tampa-St. Petersburg-Clearwater, FL",2395997,258091,.629,248642,.444,"Tampa-St. Petersburg-Clearwater, FL",2733761,.2507587,14.82119,.1077176,10.7198,.1037739,"South",0,1,0,7.160581,.2982429,.1533305
45780,"Toledo","Toledo, OH",659188,84069,.694,28660,.338,"Toledo, OH",649104,.2301733,13.38335,.1275342,10.73346,.0434777,"Midwest",1,0,0,1.611413,.2442264,.0708542
46060,"Tucson","Tucson, AZ",843746,30893,.379,247578,.488,"Tucson, AZ",1012018,.295532,13.82746,.0366141,10.70068,.2934272,"West",0,0,1,5.12291,.2230935,.1602473
46140,"Tulsa","Tulsa, OK",859532,81169,.567,39534,.4,"Tulsa, OK",916079,.2461373,13.72786,.0944339,10.68622,.0459948,"South",0,1,0,1.6823,.2875382,.0895328
47260,"Norfolk","Virginia Beach-Norfolk-Newport News, VA-NC",1576370,504847,.459,49014,.316,"Virginia Beach-Norfolk-Newport News, VA-NC",1658292,.2655879,14.3213,.3202592,10.90489,.031093,"South",0,1,0,6.286531,.2511737,.1032412
47644,"Warren","Warren-Farmington Hills-Troy, MI Metropolitan Division",2391395,156963,.679,49711,.309,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2475181,.3124897,14.72182,.0656366,11.03468,.0207874,"Midwest",1,0,0,1.310958,.2027225,.1020385
47894,"Washington","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",3727565,1165208,.657,324420,.477,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",4181729,.4445497,15.24623,.3125923,11.28628,.0870327,"South",0,1,0,7.7471,.2277642,.1406959
48424,"Palm Beach","West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",1131184,168585,.647,140675,.425,"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",1265293,.3035733,14.05081,.1490341,10.86573,.1243608,"South",0,1,0,9.778423,.2543023,.1494472
48620,"Wichita","Wichita, KS",571166,47218,.582,41282,.425,"Wichita, KS",603716,.253839,13.31086,.0826695,10.75357,.0722767,"Midwest",1,0,0,1.469043,.2459775,.0939916
48864,"Wilmington","Wilmington, DE-MD-NJ Metropolitan Division",650501,118712,.527,30097,.448,"Wilmington, DE-MD-NJ Metropolitan Division",695708,.2827015,13.45269,.1824932,11.01914,.0462674,"South",0,1,0,4.349215,.2252314,.085848
49340,"Worcester","Worcester, MA",750963,24381,.503,50864,.559,"Worcester, MA",783806,.3124865,13.57192,.0324663,11.01385,.0677317,"Northeast",0,0,0,4.004787,.2051939,.0777648
