1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
cbsa,shortname,cbsa_name,overlap_pop,spl_pop,overlap_index,bh_wa_diss,bh_w_diss,black_diss_index,black_xpx,hisp_pop2000,hisp_diss_index,hisp_xpx,loans_count,loans_amt,subprime_count,subprime_amt,,lnfcrate,pop2000,black_pop2000,popest2008,pcollege,lnpop2008,pblack2000,lnmedhhinc,phisp2000,region,mw,south,west,ratio_boom_hist,psubprime0406,ratio_hs_hu2000
35300,New Haven,"New Haven-Milford, CT",142414,206069,0.691098613,0.6102534,0.6127087,0.656,0.484,83131,0.578,0.39,40370,6738441,11474,1774314,,1.146984,824008,100685,846101,0.3088473,13.64839,0.1221894,10.97726,0.1008862,Northeast,0,0,0,4.607871,0.2551111,0.0405251
35380,New Orleans,"New Orleans-Metairie-Kenner, LA",45338,70083,0.646918654,0.6255563,0.6367816,0.689,0.74,58415,0.356,0.147,39829,6064506,10056,1264426,,0.4441749,1316510,497952,1134029,0.2479866,13.94129,0.3782364,10.73208,0.0443711,South,0,1,0,3.147298,0.2429462,0.0653943
35644,New York,"New York-Wayne-White Plains, NY-NJ Metropolitan Division",2237935,2660459,0.841183796,0.675045,0.7070761,0.803,0.809,2819828,0.654,0.688,265668,89061812,75107,22535702,,0.3782027,11296377,2661694,11696649,0.3389922,16.27481,0.2356237,10.8711,0.2496223,Northeast,0,0,0,5.368575,0.2229144,0.0396367
36084,Oakland,"Oakland-Fremont-Hayward, CA Metropolitan Division",362179,647241,0.559573636,0.4709391,0.5157884,0.618,0.563,441686,0.469,0.486,146609,55925669,36598,11826787,,1.923663,2392557,331363,2504071,0.3833428,14.73343,0.1384974,11.16345,0.1846084,West,0,0,1,5.952089,0.177094,0.0761101
36420,Oklahoma City,"Oklahoma City, OK",61579,169713,0.362841974,0.4805216,0.4840718,0.536,0.413,73253,0.441,0.232,51648,5434610,13856,1104938,,0.9894372,1095421,123667,1206142,0.2685495,14.00294,0.1128945,10.684,0.066872,South,0,1,0,2.371249,0.2652962,0.1074938
36540,Omaha,"Omaha-Council Bluffs, NE-IA",69538,141129,0.492726513,0.5629207,0.5651047,0.65,0.452,40232,0.489,0.215,37974,4138253,8935,788822,,0.7785557,767041,64241,837925,0.316957,13.63868,0.0837517,10.87642,0.0524509,Midwest,1,0,0,1.648353,0.2260809,0.1422447
36740,Orlando,"Orlando, FL",243389,336258,0.723816236,0.4230166,0.4287637,0.541,0.458,271627,0.387,0.331,158795,30094146,58642,9694720,,2.104837,1644561,245054,2054574,0.2739029,14.53558,0.1490088,10.81555,0.1651669,South,0,1,0,6.73957,0.3017046,0.2918664
37100,Ventura,"Oxnard-Thousand Oaks-Ventura, CA",131534,144356,0.911177921,0.5361805,0.5548859,0.458,0.13,251734,0.561,0.609,41741,16228236,8206,2765966,,1.66283,753197,18240,797740,0.3013324,13.58954,0.0242168,11.198,0.3342206,West,0,0,1,6.964532,0.1491792,0.0897727
37764,Essex,"Essex County, MA Metropolitan Division",,,#DIV/0!,0.6777565,0.6868108,0.605,0.194,79871,0.706,0.496,0,0,0,0,,1.17301,723419,24264,736457,0.3533703,13.50961,0.0335407,11.02687,0.1104077,Northeast,0,0,0,3.380866,0.1782743,0.0517942
37964,Philadelphia,"Philadelphia, PA Metropolitan Division",821659,1089584,0.754103401,0.7229819,0.7331867,0.762,0.733,182727,0.618,0.426,178487,27775023,40208,5116340,,0.7803421,3849647,866114,3892194,0.3256326,15.17448,0.2249853,10.90717,0.0474659,Northeast,0,0,0,4.790148,0.1796333,0.0513467
38060,Phoenix,"Phoenix-Mesa-Scottsdale, AZ",555165,731571,0.758866877,0.5086229,0.509873,0.433,0.197,817012,0.521,0.511,354840,72559466,121133,20422254,,2.152276,3251876,137766,4281899,0.2653259,15.26991,0.0423651,10.87535,0.2512433,West,0,0,1,6.230684,0.2765982,0.2683141
38300,Pittsburgh,"Pittsburgh, PA",104491,308111,0.339134273,0.6435756,0.6452776,0.673,0.482,17408,0.29,0.02,81705,7783919,19710,1618717,,0.5842116,2431087,202891,2351192,0.2722488,14.67043,0.0834569,10.71028,0.0071606,Northeast,0,0,0,2.147501,0.2085135,0.0424201
38900,Portland,"Portland-Vancouver-Beaverton, OR-WA",0,306477,0,0.3582452,0.3617773,0.464,0.19,142842,0.342,0.157,126703,24360656,30956,5076647,,0.8299981,1927881,64533,2207462,0.3189498,14.60735,0.0334735,10.89553,0.0740927,West,0,0,1,3.258902,0.2108534,0.1291399
39100,Poughkeepsie,"Poughkeepsie-Newburgh-Middletown, NY",38537,94282,0.40874186,0.4468796,0.4487951,0.508,0.325,57798,0.391,0.248,26755,5057295,7352,1400171,,0.5091133,621517,59415,672525,0.2809191,13.41879,0.0955967,11.10309,0.092995,Northeast,0,0,0,5.341895,0.2256475,0.0874904
39300,Providence,"Providence-New Bedford-Fall River, RI-MA",112944,312583,0.361324832,0.6042186,0.6106736,0.566,0.251,110062,0.645,0.387,79834,14201075,20621,3799613,,0.2703177,1582997,73160,1596611,0.2738814,14.28339,0.0462161,10.89792,0.0695276,Northeast,0,0,0,5.806064,0.2158501,0.0450463
